Raw venue string,Canonical name,CORE/SJR rank,Source of decision,Note
ieee fuzzy systems,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'ieee fuzzy systems': [CORE:norm_title] IEEE International Conference on Fuzzy Systems | [SJR:norm_title] IEEE Transactions on Fuzzy Systems | [SJR:norm_title] IEEE International Conference on Fuzzy Systems / ranks: CORE B | SJR Q1 | SJR - / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
ieee information theory,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'ieee information theory': [CORE:norm_title] IEEE International Symposium on Information Theory | [SJR:norm_title] IEEE Transactions on Information Theory / ranks: CORE B | SJR Q1 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
ieee intelligent systems,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'ieee intelligent systems': [CORE:norm_title] IEEE International Conference on Intelligent Systems | [SJR:norm_title] IEEE Intelligent Systems / ranks: CORE C | SJR Q1 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
ieee program comprehension,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,"衝突キー'ieee program comprehension': [CORE:norm_title] IEEE International Conference on Program Comprehension (previously IWPC, changed in 2006) | [SJR:norm_title] IEEE International Conference on Program Comprehension / ranks: CORE A | SJR - / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)"
ieee software engineering,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'ieee software engineering': [CORE:norm_title] IEEE Software Engineering Workshop | [SJR:norm_title] IEEE Transactions on Software Engineering / ranks: CORE C | SJR Q1 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
ieee test conference,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'ieee test conference': [CORE:norm_title] IEEE International Test Conference | [SJR:norm_title] IEEE International Test Conference (TC) / ranks: CORE A | SJR - / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
immunotherapy,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'immunotherapy': [SJR:norm_title] Journal of Immunotherapy | [SJR:norm_title] Immunotherapy / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
infectious diseases,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'infectious diseases': [SJR:norm_title] Journal of Infectious Diseases | [SJR:norm_title] International Journal of Infectious Diseases | [SJR:norm_title] Infectious Diseases / ranks: SJR Q1 | SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
inflammation,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'inflammation': [SJR:norm_title] Inflammation | [SJR:norm_title] Journal of Inflammation (United Kingdom) | [SJR:norm_title] International Journal of Inflammation / ranks: SJR Q1 | SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
inflammation research,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'inflammation research': [SJR:norm_title] Inflammation Research | [SJR:norm_title] Journal of Inflammation Research / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
informatics,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'informatics': [CORE:acronym] IEEE International Scientific Conference on Informatics | [SJR:norm_title] Informatics / ranks: CORE National:Slovakia | SJR Q1 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
information display,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'information display': [SJR:norm_title] Journal of Information Display | [SJR:norm_title] Information Display / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
information security applications,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'information security applications': [CORE:norm_title] International Workshop on Information Security Applications | [SJR:norm_title] Journal of Information Security and Applications / ranks: CORE National: korea | SJR Q1 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
information technology management,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'information technology management': [SJR:norm_title] Information Technology and Management | [SJR:norm_title] Journal of Information Technology Management | [SJR:norm_title] International Journal of Information Technology and Management / ranks: SJR Q1 | SJR Q3 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
innate immunity,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'innate immunity': [SJR:norm_title] Journal of Innate Immunity | [SJR:norm_title] Innate Immunity / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
innovation,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'innovation': [SJR:norm_title] Innovation | [SJR:norm_title] International Journal of Innovation / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
inquiry,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'inquiry': [SJR:norm_title] Inquiry (United States) | [SJR:norm_title] Inquiry (United Kingdom) / ranks: SJR Q2 | SJR Q1 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
integrated care,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'integrated care': [SJR:norm_title] International Journal of Integrated Care | [SJR:norm_title] Journal of Integrated Care / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
intelligent systems,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'intelligent systems': [SJR:norm_title] International Journal of Intelligent Systems | [SJR:norm_title] Journal of Intelligent Systems / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
intensive care medicine,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'intensive care medicine': [SJR:norm_title] Intensive Care Medicine | [SJR:norm_title] Journal of Intensive Care Medicine / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
iron steel research,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'iron steel research': [SJR:norm_title] Journal of Iron and Steel Research International | [SJR:norm_title] Journal of Iron and Steel Research / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
islamic architecture,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'islamic architecture': [SJR:norm_title] Journal of Islamic Architecture | [SJR:norm_title] International Journal of Islamic Architecture / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
iswc,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'iswc': [CORE:acronym] IEEE International Symposium on Wearable Computers | [CORE:acronym] International Semantic Web Conference / ranks: CORE Journal Published | CORE A / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
itc,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'itc': [CORE:acronym] IEEE International Test Conference | [CORE:acronym] International Teletraffic Congress / ranks: CORE A | CORE Unranked / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
jesuit studies,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'jesuit studies': [SJR:norm_title] Journal of Jesuit Studies | [SJR:norm_title] Jesuit Studies / ranks: SJR Q1 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
knowledge management,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'knowledge management': [SJR:norm_title] Journal of Knowledge Management | [SJR:norm_title] International Journal of Knowledge Management / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
korean studies,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'korean studies': [SJR:norm_title] Korean Journal of International Studies | [SJR:norm_title] Journal of Korean Studies | [SJR:norm_title] Korean Studies / ranks: SJR Q3 | SJR Q3 | SJR Q1 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
language education,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'language education': [SJR:norm_title] Language and Education | [SJR:norm_title] Journal of Language and Education | [SJR:norm_title] International Journal of Language Education | [SJR:norm_title] The Language of Education / ranks: SJR Q1 | SJR Q1 | SJR Q1 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
law society,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'law society': [SJR:norm_title] Journal of Law and Society | [SJR:norm_title] International Journal of Law and Society / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
learning disabilities,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'learning disabilities': [SJR:norm_title] Journal of Learning Disabilities | [SJR:norm_title] Learning Disabilities / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
lexis,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'lexis': [SJR:norm_title] Lexis (Peru) | [SJR:norm_title] Lexis / ranks: SJR Q1 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
libri,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'libri': [SJR:norm_title] Libri | [SJR:norm_title] Libri (Turkey) / ranks: SJR Q2 | SJR Q1 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
limite,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'limite': [SJR:norm_title] Limite | [SJR:norm_title] Limite (Chile) / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
liver transplantation,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'liver transplantation': [SJR:norm_title] Liver Transplantation | [SJR:norm_title] Journal of Liver Transplantation / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
logos,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'logos': [SJR:norm_title] Logos (Lithuania) | [SJR:norm_title] Logos (Russian Federation) | [SJR:norm_title] Logos (The Netherlands) | [SJR:norm_title] Logos (Spain) | [SJR:norm_title] Logos (United States) / ranks: SJR Q2 | SJR Q1 | SJR Q1 | SJR Q3 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
mabs,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'mabs': [CORE:acronym] International Workshop on MultiAgent Based Simulation | [SJR:norm_title] mAbs / ranks: CORE C | SJR Q1 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
magnetic resonance imaging,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'magnetic resonance imaging': [SJR:norm_title] Journal of Magnetic Resonance Imaging | [SJR:norm_title] Magnetic Resonance Imaging / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
management,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'management': [SJR:norm_title] Journal of Management | [SJR:norm_title] Journal of International Management | [SJR:norm_title] Management (France) | [SJR:norm_title] Management (Croatia) | [SJR:norm_title] Management international | [SJR:norm_title] Management (Montevideo) (discontinued) / ranks: SJR Q1 | SJR Q1 | SJR Q2 | SJR Q4 | SJR Q4 | SJR - / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
management education,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'management education': [SJR:norm_title] International Journal of Management Education | [SJR:norm_title] Journal of Management Education | [SJR:norm_title] Management in Education | [SJR:norm_title] International Journal of Management in Education / ranks: SJR Q1 | SJR Q1 | SJR Q2 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
management review,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'management review': [SJR:norm_title] Management International Review | [SJR:norm_title] Management Review (Taiwan) / ranks: SJR Q1 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
management sustainability,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'management sustainability': [SJR:norm_title] Management and Sustainability | [SJR:norm_title] International Journal of Management and Sustainability / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
manufacturing technology management,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'manufacturing technology management': [SJR:norm_title] Journal of Manufacturing Technology Management | [SJR:norm_title] International Journal of Manufacturing Technology and Management / ranks: SJR Q1 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
marine science technology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'marine science technology': [SJR:norm_title] Journal of Marine Science and Technology | [SJR:norm_title] Journal of Marine Science and Technology (Taiwan) / ranks: SJR Q1 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
materials science,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'materials science': [SJR:norm_title] Journal of Materials Science | [SJR:norm_title] Materials Science / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
materials science technology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'materials science technology': [SJR:norm_title] Journal of Materials Science and Technology | [SJR:norm_title] Materials Science and Technology (United Kingdom) / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
meat science,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'meat science': [SJR:norm_title] Meat Science | [SJR:norm_title] Journal of Meat Science / ranks: SJR Q1 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
mechanical sciences,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'mechanical sciences': [SJR:norm_title] International Journal of Mechanical Sciences | [SJR:norm_title] Mechanical Sciences / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
medical education,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'medical education': [SJR:norm_title] Medical Education | [SJR:norm_title] International Journal of Medical Education | [SJR:norm_title] International Medical Education / ranks: SJR Q1 | SJR Q2 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
medical humanities,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'medical humanities': [SJR:norm_title] Medical Humanities | [SJR:norm_title] Journal of Medical Humanities / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
medical microbiology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'medical microbiology': [SJR:norm_title] International Journal of Medical Microbiology | [SJR:norm_title] Journal of Medical Microbiology / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
medical mycology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'medical mycology': [SJR:norm_title] Medical Mycology | [SJR:norm_title] Journal of Medical Mycology / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
medicinal chemistry,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'medicinal chemistry': [SJR:norm_title] Journal of Medicinal Chemistry | [SJR:norm_title] Medicinal Chemistry / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
mediterranean archaeology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'mediterranean archaeology': [SJR:norm_title] Journal of Mediterranean Archaeology | [SJR:norm_title] Mediterranean Archaeology / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
mental health,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'mental health': [SJR:norm_title] Journal of Mental Health | [SJR:norm_title] International Journal of Mental Health / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
micro,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'micro': [CORE:acronym] International Symposium on Microarchitecture | [SJR:norm_title] Micro / ranks: CORE A* | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
microbiology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'microbiology': [SJR:norm_title] Microbiology (United Kingdom) | [SJR:norm_title] International Journal of Microbiology | [SJR:norm_title] Journal of Microbiology | [SJR:norm_title] International Microbiology | [SJR:norm_title] Microbiology (Russian Federation) / ranks: SJR Q1 | SJR Q1 | SJR Q2 | SJR Q3 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
microscopy,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,"衝突キー'microscopy': [SJR:norm_title] Microscopy (Oxford, England) | [SJR:norm_title] Journal of Microscopy / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)"
mining science technology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'mining science technology': [SJR:norm_title] International Journal of Mining Science and Technology | [SJR:norm_title] Mining Science and Technology (Russian Federation) | [SJR:norm_title] Journal of Mining Science and Technology / ranks: SJR Q1 | SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
molecular biology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'molecular biology': [SJR:norm_title] Journal of Molecular Biology | [SJR:norm_title] Molecular Biology / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
morphology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'morphology': [SJR:norm_title] Morphology | [SJR:norm_title] Journal of Morphology | [SJR:norm_title] International Journal of Morphology / ranks: SJR Q1 | SJR Q2 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
multidisciplinary social sciences,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'multidisciplinary social sciences': [SJR:norm_title] International and Multidisciplinary Journal of Social Sciences | [SJR:norm_title] Journal of Multidisciplinary in Social Sciences / ranks: SJR Q1 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
nano letters,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'nano letters': [SJR:norm_title] Nano Letters | [SJR:norm_title] International Nano Letters / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
nano research,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'nano research': [SJR:norm_title] Nano Research | [SJR:norm_title] Journal of Nano Research / ranks: SJR Q1 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
nanomaterials,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'nanomaterials': [SJR:norm_title] Nanomaterials | [SJR:norm_title] Journal of Nanomaterials / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
nanophotonics,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'nanophotonics': [SJR:norm_title] Nanophotonics | [SJR:norm_title] Journal of Nanophotonics / ranks: SJR Q1 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
natural gas geoscience,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'natural gas geoscience': [SJR:norm_title] Natural Gas Geoscience | [SJR:norm_title] Journal of Natural Gas Geoscience / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
neonatology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'neonatology': [SJR:norm_title] Neonatology | [SJR:norm_title] Journal of Neonatology / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
neuro oncology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'neuro oncology': [SJR:norm_title] Neuro-Oncology | [SJR:norm_title] Journal of Neuro-Oncology / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
neurochemistry,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'neurochemistry': [SJR:norm_title] Journal of Neurochemistry | [SJR:norm_title] Neurochemistry International / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
neurocritical care,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'neurocritical care': [SJR:norm_title] Neurocritical Care | [SJR:norm_title] Journal of Neurocritical Care / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
neuroendocrinology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'neuroendocrinology': [SJR:norm_title] Journal of Neuroendocrinology | [SJR:norm_title] Neuroendocrinology / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
neuroscience research,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'neuroscience research': [SJR:norm_title] Journal of Neuroscience Research | [SJR:norm_title] Neuroscience Research / ranks: SJR Q2 | SJR Q1 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
nonlinear science,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'nonlinear science': [SJR:norm_title] Journal of Nonlinear Science | [SJR:norm_title] International Journal of Nonlinear Science / ranks: SJR Q1 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
nucleus,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'nucleus': [SJR:norm_title] Nucleus | [SJR:norm_title] Nucleus (India) / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
number theory,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'number theory': [SJR:norm_title] Journal of Number Theory | [SJR:norm_title] International Journal of Number Theory / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
nutrition,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'nutrition': [SJR:norm_title] Journal of Nutrition | [SJR:norm_title] Nutrition / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
obstetrics gynecology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'obstetrics gynecology': [SJR:norm_title] Obstetrics and Gynecology | [SJR:norm_title] Obstetrics and Gynecology International / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
occupational environmental medicine,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'occupational environmental medicine': [SJR:norm_title] Occupational and Environmental Medicine | [SJR:norm_title] Journal of Occupational and Environmental Medicine / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
oceanography,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'oceanography': [SJR:norm_title] Oceanography | [SJR:norm_title] Journal of Oceanography / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
oncology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'oncology': [SJR:norm_title] International Journal of Oncology | [SJR:norm_title] Oncology (Switzerland) | [SJR:norm_title] Oncology (United States) / ranks: SJR Q1 | SJR Q2 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
one health,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'one health': [SJR:norm_title] One Health | [SJR:norm_title] International Journal of One Health / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
operational research,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'operational research': [SJR:norm_title] Operational Research | [SJR:norm_title] International Journal of Operational Research / ranks: SJR Q1 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
